seed,model,support_ratio,mean_importance,count,class0_count,class1_count
0,LinearSVM,0.1,0.1928617895667094,20,15,5
0,LinearSVM,0.2,0.13138576371075003,20,12,8
0,LinearSVM,0.3,0.13513917427084138,20,9,11
0,LinearSVM,0.4,0.09853645956551235,20,8,12
0,RBFSVM,0.1,0.006666666666666659,20,16,4
0,RBFSVM,0.2,0.008333333333333325,20,14,6
0,RBFSVM,0.3,0.017222222222222205,20,5,15
0,RBFSVM,0.4,0.019999999999999928,20,14,6
0,RandomForest,0.1,0.01527613239865836,20,11,9
0,RandomForest,0.2,0.01902415473270182,20,10,10
0,RandomForest,0.3,0.02481758242267175,20,9,11
0,RandomForest,0.4,0.03627662571714606,20,12,8
1,LinearSVM,0.1,0.21206820445621138,20,13,7
1,LinearSVM,0.2,0.3599441075239489,20,11,9
1,LinearSVM,0.3,0.19804397969194093,20,10,10
1,LinearSVM,0.4,0.10075709556431264,20,10,10
1,RBFSVM,0.1,0.00999999999999999,20,10,10
1,RBFSVM,0.2,0.00888888888888888,20,6,14
1,RBFSVM,0.3,0.00999999999999999,20,5,15
1,RBFSVM,0.4,0.034444444444444444,20,13,7
1,RandomForest,0.1,0.014273932582272195,20,9,11
1,RandomForest,0.2,0.02057261710867983,20,9,11
1,RandomForest,0.3,0.025669398906024276,20,10,10
1,RandomForest,0.4,0.036359793008417116,20,9,11
2,LinearSVM,0.1,0.2204161724852108,20,15,5
2,LinearSVM,0.2,0.14845125703454112,20,10,10
2,LinearSVM,0.3,0.14292632180738304,20,9,11
2,LinearSVM,0.4,0.11312387782239283,20,9,11
2,RBFSVM,0.1,0.011111111111111,20,3,17
2,RBFSVM,0.2,0.021111111111111,20,4,16
2,RBFSVM,0.3,0.01999999999999989,20,5,15
2,RBFSVM,0.4,0.00999999999999999,20,13,7
2,RandomForest,0.1,0.016611934778620874,20,8,12
2,RandomForest,0.2,0.02199138721178383,20,9,11
2,RandomForest,0.3,0.02714090725134794,20,9,11
2,RandomForest,0.4,0.03900541295125769,20,11,9
