support_ratio,model,mean_test_f1,std_test_f1
0.1,LinearSVM,0.8633618696118696,0.09890414820535341
0.1,RBFSVM,0.80988939443995,0.10681234958082332
0.1,RandomForest,0.7692399267399268,0.06552989816913855
0.2,LinearSVM,0.8064036257386641,0.15146483323684806
0.2,RBFSVM,0.8093880098190444,0.09254297185104114
0.2,RandomForest,0.7421235077085461,0.17298808477158625
0.3,LinearSVM,0.8640098700201002,0.08005678617010073
0.3,RBFSVM,0.8322817827128172,0.05058560099102492
0.3,RandomForest,0.7485676808193859,0.1653895649513996
0.4,LinearSVM,0.7946682269594344,0.10363386834150753
0.4,RBFSVM,0.8678596307906652,0.043336673631805364
0.4,RandomForest,0.7255993036044187,0.15497668054336494
