support,n_features,model,test_accuracy,test_f1,test_auc
19,40220,SVM,0.7368421052631579,0.7727272727272727,0.8338461538461539
38,4751,SVM,0.7105263157894737,0.7659574468085107,0.8384615384615384
57,637,SVM,0.7105263157894737,0.7659574468085107,0.7292307692307693
76,110,SVM,0.7368421052631579,0.8076923076923077,0.7923076923076923
94,74,SVM,0.6578947368421053,0.7796610169491526,0.5846153846153845
19,40220,RandomForest,0.7368421052631579,0.782608695652174,0.8615384615384616
38,4751,RandomForest,0.7631578947368421,0.8085106382978724,0.8538461538461538
57,637,RandomForest,0.7368421052631579,0.7916666666666667,0.8030769230769231
76,110,RandomForest,0.7368421052631579,0.8076923076923077,0.7984615384615384
94,74,RandomForest,0.6578947368421053,0.7796610169491526,0.5323076923076924
